Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
MMTIF,MICROMEM TECHS INC,OTCQB,0.027450,0.093625,63220,Foreign Ordinary Shares,Canada,Ontario
AUSI,AURA SYSTEMS INC,Pink Limited,0.158500,-0.008755,2500,Common Stock,USA,California
ABCP,AMBASE CORP,Pink Limited,0.185955,0.122320,200,Common Stock,USA,Florida
ALTX,ALTEX INDUS INC,Pink Limited,0.250000,0.000000,3000,Common Stock,USA,Colorado
IVFH,INNOVATIVE FOOD HLDGS INC,OTCQB,0.429000,-0.025000,8268,Common Stock,USA,Illinois
BELR,BELL ROSE CAPITAL INC,OTCID,0.000400,0.333333,13293955,Common Stock,USA,Wyoming
WHEN,WORLD HEALTH ENERGY HLDGS,OTCID,0.000100,0.000000,7500,Common Stock,USA,Florida
CGRA,CGROWTH CAPITAL INC,Pink Limited,0.001500,0.071429,6000,Common Stock,USA,Kentucky
TIPS,TIANRONG INTERNET PROD SV,OTCID,0.003000,0.500000,1036699,Common Stock,USA,Pennsylvania
GEBHY,GENTING BERHAD SPONS ADR,OTCID,3.850000,-0.020356,11543,ADRs,Malaysia,
APGI,AMERICAN POWER GROUP CORP,Pink Limited,0.009000,0.022727,15998,Common Stock,USA,Iowa
GTLL,GLOBAL TECHS LTD,Pink Limited,0.000100,0.000000,5865446,Common Stock,USA,North Carolina
JNSH,JNS HOLDINGS CORP,OTCID,0.001800,-0.100000,526398,Common Stock,USA,Illinois
NGCG,NEW GENERATION CONSUMER,OTCID,0.000150,0.000000,1000000,Common Stock,USA,Arizona
TMMI,TMM INC,OTCID,0.009500,0.000000,38310,Common Stock,USA,Nevada
OVTZ,OCULUS INC,OTCQB,0.029800,0.041958,8276,Foreign Ordinary Shares,Canada,British Columbia
GSFD,GLOBAL SEAFOOD TECH INC,Pink Limited,0.072200,-0.183609,37080,Common Stock,USA,Mississippi
BDRLQ,BLONDER TONGUE LABS INC,Pink Limited,0.002850,0.295455,9570,Common Stock,USA,New Jersey
INBP,INTEGRATED BIOPHARMA INC,OTCQX,0.286340,-0.045183,8618,Common Stock,USA,New Jersey
GVSI,GOOD VIBRATIONS SHOES INC,Pink Limited,0.000800,-0.111111,550061,Common Stock,USA,Nevada
MRES,INSTITUTE OF BIOMED RESH,OTCID,0.002300,0.150000,2242408,Common Stock,United Arab Emirates,
BCII,BCII ENTERPRISES INC,OTCID,0.010000,0.019056,2102,Common Stock,USA,Florida
DROP,FUSE SCIENCE INC,OTCID,0.003400,-0.028571,45000,Common Stock,Canada,Ontario
NORD,NORDICUS PARTNERS CORP,OTCQB,4.500000,0.097561,318,Common Stock,USA,California
ECIA,ENCISION INC,Pink Limited,0.150000,0.428571,10000,Common Stock,USA,Colorado
RAFA,RAFARMA PHARMA (WY),OTCID,0.079800,0.270701,33900,Common Stock,USA,Utah
KNOS,KRONOS ADVANCED TECHS INC,Pink Limited,0.003280,0.093333,82290,Common Stock,USA,West Virginia
BSEM,BIOSTEM TECHNOLOGIES NEW,OTCID,5.650000,-0.025862,47294,Common Stock,USA,Florida
OLVI,OLIVEDA INTERNATIONAL INC,OTCID,0.290000,0.090226,21001,Common Stock,USA,California
IGPK,INTEGRATED CANNABIS SLTNS,Pink Limited,0.000800,0.000000,711333,Common Stock,Canada,British Columbia
AIMLF,AI / ML INNOVATIONS INC,OTCQB,0.028800,0.032258,145660,Foreign Ordinary Shares,Canada,British Columbia
PRMO,PROM RESOURCES INC NEW,OTCID,0.033200,0.034268,1000,Common Stock,USA,Florida
CBDD,CBD OF DENVER INC,OTCID,0.000100,1.000000,28104434,Common Stock,Switzerland,
LIFD,LFTD PARTNERS INC,OTCQB,0.190100,-0.049500,4065,Common Stock,USA,Florida
