Entry_Date,Trade_Type,Entry_Ratio,Entry_Z_Score,Exit_Date,Exit_Ratio,PnL_Pct,Hold_Days
2021-02-25,Long V / Short MA,0.5989244186046512,-2.649651511318951,2021-03-19,0.576587255695617,-3.73,22
2021-04-30,Short V / Long MA,0.6066395408369486,2.9829324031005124,2021-06-21,0.6241445916114791,-2.89,52
2021-07-20,Short V / Long MA,0.6434672745749678,2.8767377717982208,2021-07-26,0.632398753894081,1.72,6
2021-08-23,Short V / Long MA,0.6446393984277088,2.1340743428619455,2021-09-10,0.6435189296391677,0.17,18
2021-10-29,Long V / Short MA,0.6265687174778084,-3.1667751924733514,2021-11-29,0.6043176904489381,-3.55,31
2021-12-27,Long V / Short MA,0.6006441682818379,-2.2180423325877237,2022-01-26,0.5932329484585168,-1.23,30
2022-02-09,Short V / Long MA,0.6012156092838126,2.162684786497709,2022-02-24,0.5852168601099572,2.66,15
2022-03-21,Short V / Long MA,0.6247699887220276,2.293658877143895,2022-04-07,0.6142756680731364,1.68,17
2022-04-13,Long V / Short MA,0.5965564976639557,-2.0813327725316286,2022-05-11,0.5996982650238873,0.53,28
2022-05-12,Short V / Long MA,0.600975640862135,2.0084586253721533,2022-05-26,0.5932496121307924,1.29,14
2022-06-16,Short V / Long MA,0.6093604882579275,2.1658991093922473,2022-07-21,0.6192848509860567,-1.63,35
2022-07-28,Long V / Short MA,0.5959261838440112,-2.5448223244131882,2022-08-23,0.6039179216415672,1.34,26
2022-09-23,Short V / Long MA,0.6238199742223152,3.0560434822910145,2022-10-05,0.6141666106367243,1.55,12
2022-10-27,Short V / Long MA,0.6357736572890026,2.1600653753154924,2022-11-02,0.6245051717532882,1.77,6
2022-11-08,Long V / Short MA,0.6156715248393668,-2.10857545630088,2023-01-05,0.5978289263634518,-2.9,58
2023-01-09,Long V / Short MA,0.5860353923939328,-3.126091534909385,2023-01-20,0.5928805569853439,1.17,11
2023-01-30,Short V / Long MA,0.6139478671684018,3.365350913181853,2023-03-02,0.6138982856487586,0.01,31
2023-03-17,Short V / Long MA,0.6195265582181797,2.1228509998672,2023-03-29,0.6189112560249503,0.1,12
2023-04-28,Long V / Short MA,0.6092929833958222,-2.974435239620364,2023-05-26,0.5991463679860809,-1.67,28
2023-06-02,Short V / Long MA,0.6102502655156451,2.1846681037274793,2023-06-07,0.604642240552465,0.92,5
2023-07-25,Long V / Short MA,0.5920982651639862,-2.495695188081545,2023-08-01,0.6011005886869721,1.52,7
2023-08-29,Long V / Short MA,0.5943710653005801,-2.5747924366235435,2023-10-05,0.5898208217485327,-0.77,37
2023-10-16,Short V / Long MA,0.595952441183911,2.0131026710032267,2023-11-21,0.6155144175889622,-3.28,36
2023-12-19,Long V / Short MA,0.6098125268329915,-3.205302807575856,2024-01-04,0.6172033652451407,1.21,16
2024-02-01,Long V / Short MA,0.598922840184656,-2.6622555809434973,2024-02-21,0.6018408157859887,0.49,20
2024-03-25,Long V / Short MA,0.5896813741140413,-2.815205534320226,2024-04-12,0.5911205809453407,0.24,18
2024-05-02,Short V / Long MA,0.604808001101069,2.2776601758190704,2024-05-22,0.6028857662130414,0.32,20
2024-06-07,Short V / Long MA,0.6187658875666434,2.02157196940081,2024-06-13,0.6086402910413824,1.64,6
2024-06-26,Long V / Short MA,0.6040394551432597,-2.1680309458504023,2024-07-11,0.5999398092415964,-0.68,15
2024-07-25,Long V / Short MA,0.5890030808306483,-2.9251615292179465,2024-08-26,0.5718874636197046,-2.91,32
2024-09-04,Short V / Long MA,0.5801129234629863,2.648023891314095,2024-09-23,0.5801325041661586,-0.0,19
2024-09-25,Long V / Short MA,0.5504592837238106,-2.767911233511765,2024-10-18,0.5616719427834447,2.04,23
2024-11-01,Short V / Long MA,0.5710455764075067,3.3797320666618185,2024-12-06,0.5882869468942084,-3.02,35
2025-01-07,Short V / Long MA,0.6093441717307236,2.345531095979745,2025-01-31,0.614359048776506,-0.82,24
2025-02-14,Short V / Long MA,0.6264918383730266,2.3753666205507673,2025-03-18,0.6314229249011857,-0.79,32
2025-04-01,Short V / Long MA,0.6314494058005621,2.266028680281773,2025-04-02,0.6327259341063869,-0.2,1
2025-04-04,Short V / Long MA,0.6393483090594915,2.1006812517840987,2025-04-21,0.6274959018821717,1.85,17
2025-06-23,Short V / Long MA,0.6338631600422873,2.57599079364429,2025-06-26,0.6340398083302616,-0.03,3
2025-07-25,Long V / Short MA,0.6275612127640768,-2.099391134740571,2025-08-27,0.5934454667596387,-5.44,33
2025-10-02,Short V / Long MA,0.5995267260579065,2.2313658098853995,2025-10-23,0.6024688335985173,-0.49,21
2025-10-31,Short V / Long MA,0.6167896477772528,2.4742406622533992,2025-11-07,0.6082697201017812,1.38,7
2025-12-04,Long V / Short MA,0.6038625894888728,-2.8229762976052863,2025-12-08,0.6054761462780768,0.27,4
