timestamp,open,high,low,close,volume,bar_vwap,transactions,otc
2026-03-24 08:00:00,589.48,590.21,589.48,590.17,2946.0,589.8573,106,
2026-03-24 08:01:00,590.15,590.26,589.65,589.65,5374.0,589.8964,116,
2026-03-24 08:02:00,589.72,589.96,589.65,589.95,2084.0,589.7902,51,
2026-03-24 08:03:00,590.0,590.04,589.78,589.8,2870.0,589.8754,72,
2026-03-24 08:04:00,589.87,590.02,589.84,589.95,1496.0,589.9463,39,
2026-03-24 08:05:00,590.08,590.37,590.06,590.36,1237.0,590.2192,64,
2026-03-24 08:06:00,590.34,590.4,590.28,590.39,2371.0,590.3405,45,
2026-03-24 08:07:00,590.37,590.37,590.26,590.34,2860.0,590.3577,38,
2026-03-24 08:08:00,590.19,590.19,589.97,590.01,1342.0,590.0603,38,
2026-03-24 08:09:00,589.96,590.27,589.84,590.21,3384.0,590.0962,71,
2026-03-24 08:10:00,590.06,590.07,589.85,589.92,4063.0,589.9476,60,
2026-03-24 08:11:00,589.97,589.97,589.8,589.93,2590.0,589.8936,43,
2026-03-24 08:12:00,589.97,590.14,589.95,590.08,2235.0,590.067,52,
2026-03-24 08:13:00,590.0,590.15,590.0,590.15,2430.0,590.1194,27,
2026-03-24 08:15:00,590.09,590.27,590.03,590.22,7835.0,590.1456,135,
2026-03-24 08:16:00,590.18,590.4,590.14,590.31,1834.0,590.3402,39,
2026-03-24 08:17:00,590.17,590.23,589.95,589.98,2936.0,590.0677,62,
2026-03-24 08:18:00,589.87,589.89,589.35,589.35,3777.0,589.7296,80,
2026-03-24 08:19:00,589.31,589.39,588.73,588.74,28006.0,589.1359,216,
2026-03-24 08:20:00,588.86,588.87,588.6,588.63,9873.0,588.7437,130,
2026-03-24 08:21:00,588.67,588.85,588.62,588.81,6031.0,588.6885,100,
2026-03-24 08:22:00,588.91,589.02,588.845,588.99,1527.0,588.9251,38,
2026-03-24 08:23:00,589.0,589.12,588.95,588.95,1014.0,588.9947,28,
2026-03-24 08:24:00,588.95,588.96,588.57,588.66,2570.0,588.725,61,
2026-03-24 08:25:00,588.5,588.5,588.28,588.41,20666.0,588.375,185,
2026-03-24 08:26:00,588.44,588.67,588.35,588.35,4701.0,588.4561,56,
2026-03-24 08:27:00,588.36,588.4,588.16,588.34,7865.0,588.3176,73,
2026-03-24 08:28:00,588.41,588.41,588.16,588.31,2157.0,588.3051,35,
