Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason
AAPL,2021-04-16 09:50:00-04:00,130.1,2021-04-16 10:10:00-04:00,130.89,11.52,Take Profit
AAPL,2021-04-20 10:40:00-04:00,130.45,2021-04-20 11:15:00-04:00,129.93,-8.64,Stop Loss
AAPL,2021-04-26 09:50:00-04:00,130.25,2021-04-26 10:10:00-04:00,130.85,8.61,Take Profit
AAPL,2021-04-27 09:45:00-04:00,131.01,2021-04-27 12:45:00-04:00,131.39,5.19,Time Stop
AAPL,2021-06-07 09:45:00-04:00,122.26,2021-06-07 12:45:00-04:00,122.28,-0.33,Time Stop
AAPL,2021-06-10 10:50:00-04:00,123.14,2021-06-10 13:50:00-04:00,123.2,0.32,Time Stop
AAPL,2021-07-12 09:50:00-04:00,140.81,2021-07-12 12:50:00-04:00,141.26,5.82,Time Stop
AAPL,2021-09-10 10:40:00-04:00,150.7,2021-09-10 11:15:00-04:00,150.24,-6.57,Stop Loss
AAPL,2021-09-17 09:45:00-04:00,143.95,2021-09-17 11:30:00-04:00,143.09,-12.45,Stop Loss
AAPL,2021-10-01 09:50:00-04:00,137.23,2021-10-01 10:15:00-04:00,136.49,-11.3,Stop Loss
AAPL,2021-10-04 09:45:00-04:00,137.23,2021-10-04 10:35:00-04:00,136.4,-12.69,Stop Loss
AAPL,2021-10-12 09:45:00-04:00,138.82,2021-10-12 12:05:00-04:00,139.68,11.79,Take Profit
AAPL,2021-11-12 09:45:00-05:00,144.51,2021-11-12 10:00:00-05:00,145.0,6.25,Take Profit
AAPL,2022-02-09 09:45:00-05:00,171.88,2022-02-09 10:30:00-05:00,172.62,8.14,Take Profit
AAPL,2022-02-14 14:00:00-05:00,163.56,2022-02-14 14:50:00-05:00,165.13,18.68,Take Profit
AAPL,2022-02-23 09:50:00-05:00,161.12,2022-02-23 10:40:00-05:00,160.31,-10.51,Stop Loss
AAPL,2022-02-25 09:55:00-05:00,158.01,2022-02-25 10:45:00-05:00,159.86,22.95,Take Profit
AAPL,2022-04-20 09:50:00-04:00,163.53,2022-04-20 10:30:00-04:00,164.84,15.58,Take Profit
AAPL,2022-05-13 14:00:00-04:00,142.5,2022-05-13 14:50:00-04:00,143.96,19.92,Take Profit
AAPL,2022-05-16 09:45:00-04:00,142.15,2022-05-16 10:15:00-04:00,143.45,17.79,Take Profit
AAPL,2022-06-06 11:15:00-04:00,143.47,2022-06-06 14:15:00-04:00,143.8,4.04,Time Stop
AAPL,2022-06-30 09:50:00-04:00,132.58,2022-06-30 10:05:00-04:00,131.42,-18.07,Stop Loss
AAPL,2022-07-28 09:50:00-04:00,152.15,2022-07-28 11:00:00-04:00,153.23,13.64,Take Profit
AAPL,2022-08-16 14:45:00-04:00,169.12,2022-08-16 15:35:00-04:00,169.92,9.04,Take Profit
AAPL,2022-08-24 09:50:00-04:00,163.62,2022-08-24 11:45:00-04:00,164.59,11.4,Take Profit
AAPL,2022-08-26 10:35:00-04:00,164.67,2022-08-26 12:35:00-04:00,163.11,-19.47,Stop Loss
AAPL,2022-09-21 14:00:00-04:00,152.02,2022-09-21 14:35:00-04:00,154.11,26.91,Take Profit
AAPL,2022-09-28 09:45:00-04:00,142.56,2022-09-28 10:20:00-04:00,144.31,24.06,Take Profit
AAPL,2022-10-10 09:45:00-04:00,136.78,2022-10-10 10:25:00-04:00,137.58,11.05,Take Profit
AAPL,2022-10-11 09:55:00-04:00,136.47,2022-10-11 10:40:00-04:00,137.29,11.36,Take Profit
AAPL,2022-10-18 14:40:00-04:00,138.84,2022-10-18 16:00:00-04:00,141.81,42.27,Take Profit
AAPL,2022-11-01 09:45:00-04:00,150.9,2022-11-01 10:00:00-04:00,149.87,-14.2,Stop Loss
AAPL,2022-11-04 09:45:00-04:00,134.87,2022-11-04 10:20:00-04:00,137.84,43.46,Take Profit
AAPL,2022-11-14 09:50:00-05:00,145.2,2022-11-14 10:00:00-05:00,146.07,11.39,Take Profit
AAPL,2022-11-22 09:45:00-05:00,144.85,2022-11-22 10:05:00-05:00,145.69,10.99,Take Profit
AAPL,2023-01-10 10:40:00-05:00,126.22,2023-01-10 12:35:00-05:00,127.66,22.13,Take Profit
AAPL,2023-02-02 14:55:00-05:00,146.71,2023-02-02 15:30:00-05:00,147.59,11.51,Take Profit
AAPL,2023-02-13 14:45:00-05:00,150.65,2023-02-13 15:20:00-05:00,151.32,8.32,Take Profit
AAPL,2023-03-10 09:45:00-05:00,146.96,2023-03-10 10:00:00-05:00,148.27,17.28,Take Profit
AAPL,2023-04-17 09:45:00-04:00,162.18,2023-04-17 12:45:00-04:00,161.98,-2.96,Time Stop
AAPL,2023-04-20 14:30:00-04:00,164.31,2023-04-20 15:05:00-04:00,163.79,-6.84,Stop Loss
AAPL,2023-05-01 14:30:00-04:00,167.0,2023-05-01 16:00:00-04:00,167.16,1.44,EOD Close
AAPL,2023-07-10 09:45:00-04:00,185.98,2023-07-10 09:50:00-04:00,185.24,-8.37,Stop Loss
AAPL,2023-08-17 09:50:00-04:00,173.48,2023-08-17 10:05:00-04:00,172.67,-9.79,Stop Loss
AAPL,2023-09-11 09:45:00-04:00,175.74,2023-09-11 12:45:00-04:00,176.42,7.28,Time Stop
AAPL,2023-10-13 10:50:00-04:00,177.58,2023-10-13 11:50:00-04:00,176.8,-9.27,Stop Loss
AAPL,2023-10-26 10:20:00-04:00,166.31,2023-10-26 11:25:00-04:00,165.14,-14.51,Stop Loss
AAPL,2023-11-27 14:45:00-05:00,187.7,2023-11-27 15:40:00-05:00,188.11,3.89,Take Profit
AAPL,2023-12-06 10:00:00-05:00,190.57,2023-12-06 13:00:00-05:00,190.69,0.84,Time Stop
AAPL,2024-01-12 14:40:00-05:00,183.41,2024-01-12 15:40:00-05:00,183.8,3.86,Take Profit
AAPL,2024-01-30 10:30:00-05:00,187.71,2024-01-30 10:45:00-05:00,186.94,-8.6,Stop Loss
AAPL,2024-03-06 09:45:00-05:00,167.99,2024-03-06 12:45:00-05:00,168.46,5.12,Time Stop
