Ticker,Type,Entry_Time,PnL,Reason
COIN,LONG,2021-05-05 12:40:00-04:00,-24.999999999999996,Stop Loss
COIN,LONG,2021-05-10 11:45:00-04:00,50.0,Take Profit
COIN,LONG,2021-06-17 11:15:00-04:00,32.493933956977834,Take Profit
COIN,LONG,2021-06-18 10:15:00-04:00,-25.0,Stop Loss
COIN,LONG,2021-06-23 14:05:00-04:00,-24.407620195614566,Stop Loss
COIN,LONG,2021-06-28 10:15:00-04:00,44.2114591410528,Take Profit
COIN,LONG,2021-08-25 11:30:00-04:00,-20.276073560691817,Stop Loss
COIN,LONG,2021-09-29 10:25:00-04:00,-19.757761554872516,Stop Loss
COIN,LONG,2021-12-14 10:35:00-05:00,50.0,Take Profit
COIN,LONG,2022-02-10 10:30:00-05:00,50.00000000000001,Take Profit
COIN,LONG,2022-02-16 10:40:00-05:00,41.935888437874155,Take Profit
COIN,LONG,2022-03-30 13:20:00-04:00,-21.585836238578647,Stop Loss
COIN,LONG,2022-09-06 13:05:00-04:00,-25.0,Stop Loss
COIN,LONG,2022-10-21 12:00:00-04:00,49.99999999999982,Take Profit
COIN,LONG,2022-12-02 11:45:00-05:00,50.0,Take Profit
COIN,LONG,2022-12-23 10:50:00-05:00,50.0,Take Profit
COIN,LONG,2023-03-06 10:15:00-05:00,50.0,Take Profit
COIN,LONG,2023-05-04 10:25:00-04:00,-25.0,Stop Loss
COIN,LONG,2023-05-26 10:35:00-04:00,48.52771837473309,Take Profit
COIN,LONG,2023-06-01 11:55:00-04:00,50.0,Take Profit
COIN,LONG,2023-06-23 10:30:00-04:00,-25.0,Stop Loss
COIN,LONG,2023-06-27 12:10:00-04:00,50.0,Take Profit
COIN,LONG,2023-08-21 10:05:00-04:00,-25.0,Stop Loss
COIN,LONG,2023-09-05 10:45:00-04:00,-25.0,Stop Loss
COIN,LONG,2023-10-19 12:35:00-04:00,-25.0,Stop Loss
COIN,LONG,2023-11-06 10:10:00-05:00,-25.0,Stop Loss
COIN,LONG,2023-11-15 13:10:00-05:00,50.0,Take Profit
COIN,LONG,2023-12-13 14:05:00-05:00,50.0,Take Profit
COIN,LONG,2024-01-18 11:00:00-05:00,-25.0,Stop Loss
COIN,LONG,2024-02-02 12:40:00-05:00,-21.348034343930127,Stop Loss
COIN,LONG,2024-04-03 10:05:00-04:00,50.00000000000001,Take Profit
COIN,LONG,2024-04-18 11:05:00-04:00,50.0,Take Profit
COIN,LONG,2024-05-22 11:50:00-04:00,50.0,Take Profit
COIN,LONG,2024-05-24 11:10:00-04:00,50.0,Take Profit
COIN,LONG,2024-08-09 15:45:00-04:00,24.416103257529606,End of Day Exit
COIN,LONG,2024-08-13 10:35:00-04:00,-25.0,Stop Loss
COIN,LONG,2024-08-15 11:45:00-04:00,46.04000890532072,Take Profit
COIN,LONG,2024-08-21 10:50:00-04:00,-24.687186778570087,Stop Loss
COIN,LONG,2024-08-23 10:10:00-04:00,41.3182501026501,Take Profit
COIN,LONG,2024-09-13 10:25:00-04:00,-24.430310848759863,Stop Loss
COIN,LONG,2024-09-17 12:45:00-04:00,-24.27861218783442,Stop Loss
COIN,LONG,2024-09-26 10:15:00-04:00,35.335740197625,Take Profit
COIN,LONG,2024-09-27 10:50:00-04:00,50.0,Take Profit
COIN,LONG,2024-10-07 10:25:00-04:00,33.162582942409614,Take Profit
COIN,LONG,2025-04-24 12:15:00-04:00,50.0,Take Profit
COIN,LONG,2025-05-12 10:55:00-04:00,-25.0,Stop Loss
COIN,LONG,2025-05-21 11:15:00-04:00,37.037317630748625,Take Profit
COIN,LONG,2025-07-15 10:35:00-04:00,-25.0,Stop Loss
COIN,LONG,2025-07-16 10:50:00-04:00,-25.0,Stop Loss
COIN,LONG,2025-07-17 10:15:00-04:00,50.0,Take Profit
COIN,LONG,2025-08-22 10:05:00-04:00,43.89248943390112,Take Profit
COIN,LONG,2025-09-04 10:05:00-04:00,-16.004415919025977,Stop Loss
COIN,LONG,2025-09-11 10:55:00-04:00,37.23846825090869,Take Profit
COIN,LONG,2025-09-18 10:25:00-04:00,45.677238457792534,Take Profit
COIN,LONG,2025-09-29 15:45:00-04:00,44.21660547250646,End of Day Exit
COIN,LONG,2025-10-08 13:15:00-04:00,38.37579179560169,Take Profit
PLTR,LONG,2021-01-07 15:45:00-05:00,20.73512906846273,End of Day Exit
PLTR,LONG,2021-03-02 10:40:00-05:00,-25.0,Stop Loss
PLTR,LONG,2021-04-28 14:00:00-04:00,-25.0,Stop Loss
PLTR,LONG,2021-05-18 10:50:00-04:00,50.0,Take Profit
PLTR,LONG,2021-06-23 15:45:00-04:00,19.251134644478242,End of Day Exit
PLTR,LONG,2021-08-18 10:35:00-04:00,45.708007711283194,Take Profit
PLTR,LONG,2021-09-15 10:35:00-04:00,36.9977858102608,Take Profit
PLTR,LONG,2021-12-21 10:45:00-05:00,43.68560478573825,Take Profit
PLTR,LONG,2022-01-11 10:40:00-05:00,-25.0,Stop Loss
PLTR,LONG,2022-01-20 11:00:00-05:00,50.0,Take Profit
PLTR,LONG,2022-02-16 12:30:00-05:00,-25.0,Stop Loss
PLTR,LONG,2022-03-09 15:45:00-05:00,-1.3539192399049993,End of Day Exit
PLTR,LONG,2022-03-18 15:45:00-04:00,5.847639484978432,End of Day Exit
PLTR,LONG,2022-03-22 14:25:00-04:00,50.0,Take Profit
PLTR,LONG,2022-04-08 13:30:00-04:00,-25.0,Stop Loss
PLTR,LONG,2022-05-25 14:50:00-04:00,50.0,Take Profit
PLTR,LONG,2022-08-01 10:45:00-04:00,50.0,Take Profit
PLTR,LONG,2022-08-05 10:05:00-04:00,50.0,Take Profit
PLTR,LONG,2022-08-24 15:45:00-04:00,-17.35632183908032,End of Day Exit
PLTR,LONG,2022-09-28 15:45:00-04:00,25.887445887446127,End of Day Exit
PLTR,LONG,2022-10-18 10:20:00-04:00,-24.216352806690534,Stop Loss
PLTR,LONG,2022-12-20 11:00:00-05:00,-25.0,Stop Loss
PLTR,LONG,2023-01-18 10:40:00-05:00,-20.988125824595322,Stop Loss
PLTR,LONG,2023-01-31 10:45:00-05:00,46.273519047935274,Take Profit
PLTR,LONG,2023-05-17 10:40:00-04:00,45.61712715774153,Take Profit
PLTR,LONG,2023-06-01 11:35:00-04:00,50.0,Take Profit
PLTR,LONG,2023-06-15 10:20:00-04:00,50.0,Take Profit
PLTR,LONG,2023-06-28 15:45:00-04:00,18.39028776978409,End of Day Exit
PLTR,LONG,2023-07-13 11:10:00-04:00,-25.0,Stop Loss
PLTR,LONG,2023-07-17 13:05:00-04:00,49.99999999999999,Take Profit
PLTR,LONG,2023-07-25 10:15:00-04:00,-25.0,Stop Loss
PLTR,LONG,2023-08-01 15:45:00-04:00,0.3256150506512446,End of Day Exit
PLTR,LONG,2023-08-25 10:25:00-04:00,-25.0,Stop Loss
PLTR,LONG,2023-08-29 10:15:00-04:00,50.0,Take Profit
PLTR,LONG,2023-10-06 11:30:00-04:00,49.99999999999999,Take Profit
PLTR,LONG,2023-11-07 12:00:00-05:00,-25.0,Stop Loss
PLTR,LONG,2023-11-17 15:45:00-05:00,32.39238589660421,End of Day Exit
PLTR,LONG,2023-11-28 15:45:00-05:00,35.74168797953964,End of Day Exit
PLTR,LONG,2023-12-15 11:15:00-05:00,-25.0,Stop Loss
PLTR,LONG,2024-01-10 10:40:00-05:00,39.704665635454106,Take Profit
PLTR,LONG,2024-04-12 10:20:00-04:00,30.716425089088432,Take Profit
PLTR,LONG,2024-05-17 10:15:00-04:00,-18.26312555472099,Stop Loss
PLTR,LONG,2024-07-05 15:45:00-04:00,32.57180156658016,End of Day Exit
PLTR,LONG,2024-07-15 15:45:00-04:00,6.206657420249693,End of Day Exit
PLTR,LONG,2024-07-18 11:30:00-04:00,-25.0,Stop Loss
PLTR,LONG,2024-08-23 10:05:00-04:00,-17.008376914888792,Stop Loss
PLTR,LONG,2024-10-02 12:10:00-04:00,41.892792535466036,Take Profit
PLTR,LONG,2024-10-04 10:10:00-04:00,-15.98853581306898,Stop Loss
PLTR,LONG,2024-10-09 10:25:00-04:00,42.40168891115401,Take Profit
PLTR,LONG,2024-10-25 15:45:00-04:00,14.314671814671698,End of Day Exit
PLTR,LONG,2025-05-30 10:40:00-04:00,50.000000000000234,Take Profit
PLTR,LONG,2025-08-22 10:10:00-04:00,50.0,Take Profit
PLTR,LONG,2025-10-16 11:20:00-04:00,-25.0,Stop Loss
PLTR,LONG,2025-12-18 15:45:00-05:00,18.866980011419255,End of Day Exit
MU,LONG,2021-01-19 13:05:00-05:00,50.0,Take Profit
MU,LONG,2021-03-09 14:40:00-05:00,50.0,Take Profit
MU,LONG,2021-08-04 10:50:00-04:00,39.05927745096155,Take Profit
MU,LONG,2021-09-09 12:30:00-04:00,31.932010688895403,Take Profit
MU,LONG,2021-12-23 15:45:00-05:00,25.793937206784758,End of Day Exit
MU,LONG,2022-08-12 12:40:00-04:00,50.00000000000001,Take Profit
MU,LONG,2022-11-23 10:40:00-05:00,-13.413569953603199,Stop Loss
MU,LONG,2023-01-27 15:45:00-05:00,18.84513567174055,End of Day Exit
MU,LONG,2023-03-16 10:15:00-04:00,-18.90249018748676,Stop Loss
MU,LONG,2023-06-28 10:40:00-04:00,33.284673764340276,Take Profit
MU,LONG,2023-08-25 10:20:00-04:00,-12.833048154485661,Stop Loss
MU,LONG,2023-09-13 10:50:00-04:00,-12.379822126150447,Stop Loss
MU,LONG,2023-10-10 13:00:00-04:00,-17.180826847616245,Stop Loss
MU,LONG,2023-10-13 10:50:00-04:00,-14.443779257218576,Stop Loss
MU,LONG,2023-10-17 11:35:00-04:00,30.996380684205782,Take Profit
MU,LONG,2023-11-27 10:45:00-05:00,19.306028315508463,Take Profit
MU,LONG,2023-12-08 14:15:00-05:00,31.928393536960336,Take Profit
MU,LONG,2024-03-01 15:45:00-05:00,15.104796453043113,End of Day Exit
MU,LONG,2024-04-11 10:10:00-04:00,-20.070027273353514,Stop Loss
MU,LONG,2024-04-26 10:20:00-04:00,29.231942419093897,Take Profit
MU,LONG,2025-01-31 10:25:00-05:00,37.154270166557616,Take Profit
MU,LONG,2025-02-04 15:45:00-05:00,14.732806161345756,End of Day Exit
MU,LONG,2025-06-03 11:50:00-04:00,50.0,Take Profit
MU,LONG,2025-06-09 10:30:00-04:00,42.89518693772416,Take Profit
MU,LONG,2025-07-02 15:45:00-04:00,13.214702450408222,End of Day Exit
MU,LONG,2025-07-11 11:30:00-04:00,25.367843958119252,Take Profit
MU,LONG,2025-07-29 11:05:00-04:00,-14.427278090498358,Stop Loss
MU,LONG,2025-07-30 10:15:00-04:00,23.190541965833948,Take Profit
MU,LONG,2025-08-22 10:05:00-04:00,26.386177980191984,Take Profit
MU,LONG,2025-10-01 10:20:00-04:00,50.0,Take Profit
MU,LONG,2025-11-19 10:55:00-05:00,-25.0,Stop Loss
AVGO,LONG,2021-01-12 11:10:00-05:00,22.34989660851179,Take Profit
AVGO,LONG,2021-02-12 14:45:00-05:00,23.86177587348041,Take Profit
AVGO,LONG,2021-04-14 11:10:00-04:00,-10.257896591309605,Stop Loss
AVGO,LONG,2021-06-11 13:10:00-04:00,-9.129765972687235,Stop Loss
AVGO,LONG,2021-06-23 15:45:00-04:00,2.3213173328943455,End of Day Exit
AVGO,LONG,2021-08-26 12:00:00-04:00,14.235319472329305,Take Profit
AVGO,LONG,2021-12-20 10:40:00-05:00,37.778406703201526,Take Profit
AVGO,LONG,2022-01-31 15:45:00-05:00,38.274981765134484,End of Day Exit
AVGO,LONG,2022-05-06 15:25:00-04:00,-22.4891375844212,Stop Loss
AVGO,LONG,2022-05-10 10:40:00-04:00,-18.16870480793076,Stop Loss
AVGO,LONG,2022-07-13 15:45:00-04:00,13.278850312149592,End of Day Exit
AVGO,LONG,2022-07-29 11:20:00-04:00,-10.242122785857433,Stop Loss
