timestamp,open,high,low,close,volume,bar_vwap,transactions,otc
2026-03-24 08:00:00,384.01,384.01,383.21,383.8,1135.0,383.7348,68,
2026-03-24 08:02:00,383.6,383.69,383.6,383.69,389.0,383.6312,14,
2026-03-24 08:04:00,383.98,384.0,383.98,384.0,337.0,383.9579,21,
2026-03-24 08:05:00,384.17,384.36,384.17,384.36,393.0,384.214,18,
2026-03-24 08:06:00,383.99,384.1,383.98,384.1,478.0,384.0078,17,
2026-03-24 08:09:00,384.0,384.0,384.0,384.0,126.0,383.994,13,
2026-03-24 08:10:00,384.0,384.0,384.0,384.0,134.0,383.9779,6,
2026-03-24 08:11:00,383.8,383.89,383.8,383.89,338.0,383.8566,12,
2026-03-24 08:12:00,383.9,383.9,383.9,383.9,170.0,383.8854,11,
2026-03-24 08:13:00,384.0,384.0,383.96,383.96,294.0,383.9902,12,
2026-03-24 08:15:00,383.9,384.06,383.9,383.95,896.0,383.989,29,
2026-03-24 08:16:00,384.0,384.0,384.0,384.0,217.0,384.0034,5,
2026-03-24 08:18:00,383.98,384.0,383.75,383.75,509.0,383.8633,27,
2026-03-24 08:19:00,383.66,383.66,383.26,383.26,629.0,383.4507,27,
2026-03-24 08:22:00,383.33,383.33,383.26,383.26,473.0,383.3055,19,
2026-03-24 08:23:00,383.21,383.21,383.21,383.21,246.0,383.2558,18,
2026-03-24 08:24:00,383.21,383.24,383.06,383.06,3623.0,383.1461,47,
2026-03-24 08:25:00,383.0,383.0,382.77,382.78,796.0,382.886,58,
2026-03-24 08:26:00,382.99,383.0,382.99,383.0,284.0,382.995,6,
2026-03-24 08:27:00,382.93,382.93,382.93,382.93,106.0,382.9045,8,
2026-03-24 08:28:00,382.9,382.9,382.8,382.8,560.0,382.8197,19,
2026-03-24 08:29:00,382.82,382.82,382.8,382.8,794.0,382.8036,12,
2026-03-24 08:30:00,382.8,382.83,382.6,382.69,1470.0,382.7059,48,
2026-03-24 08:31:00,382.69,382.76,382.61,382.61,747.0,382.6991,22,
2026-03-24 08:32:00,382.76,382.76,382.76,382.76,2686.0,382.7606,21,
2026-03-24 08:33:00,382.6,382.62,382.59,382.6,948.0,382.6115,29,
2026-03-24 08:34:00,382.83,382.83,382.8,382.8,282.0,382.8064,6,
2026-03-24 08:35:00,382.8,382.8,382.8,382.8,234.0,382.7957,3,
2026-03-24 08:36:00,382.92,382.92,382.92,382.92,151.0,382.9081,6,
2026-03-24 08:37:00,382.83,382.9,382.83,382.9,296.0,382.8738,14,
2026-03-24 08:39:00,382.6,382.6,382.6,382.6,131.0,382.624,9,
2026-03-24 08:42:00,382.66,382.66,382.5,382.5,1190.0,382.6202,41,
2026-03-24 08:43:00,382.61,382.64,382.61,382.64,439.0,382.5856,18,
2026-03-24 08:44:00,382.5,382.5,382.5,382.5,169.0,382.5067,14,
2026-03-24 08:46:00,382.65,382.66,382.65,382.66,826.0,382.6549,33,
2026-03-24 08:47:00,382.66,382.66,382.66,382.66,152.0,382.66,3,
2026-03-24 08:50:00,382.4,382.66,382.4,382.43,1104.0,382.5291,29,
2026-03-24 08:55:00,382.5,382.5,382.5,382.5,107.0,382.4972,5,
2026-03-24 08:57:00,382.4,382.4,382.4,382.4,180.0,382.3708,11,
2026-03-24 08:59:00,382.47,382.47,382.47,382.47,135.0,382.4856,10,
2026-03-24 09:00:00,382.43,382.43,382.43,382.43,173.0,382.4202,7,
2026-03-24 09:01:00,382.45,382.45,382.45,382.45,172.0,382.5087,5,
2026-03-24 09:04:00,382.63,382.91,382.63,382.91,665.0,382.7157,26,
2026-03-24 09:05:00,382.89,382.89,382.89,382.89,160.0,382.8855,9,
2026-03-24 09:08:00,382.28,382.28,382.17,382.17,304.0,382.225,22,
2026-03-24 09:10:00,382.1,382.1,382.1,382.1,111.0,382.1805,12,
2026-03-24 09:12:00,382.1,382.1,382.1,382.1,403.0,382.0938,27,
