Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL_Dollars,Exit_Reason,Return_Pct,Compounded_Balance
ADI,2021-06-22 09:45:00-04:00,149.75,2021-06-22 15:00:00+00:00,150.66,11.65,Take Profit,0.0029125,4008.3747079902014
CME,2021-06-28 09:50:00-04:00,176.51,2021-06-28 14:35:00+00:00,175.92,-7.1,Stop Loss,-0.0017749999999999999,4001.2598428835186
SYK,2021-06-28 09:45:00-04:00,248.9,2021-06-28 15:10:00+00:00,247.99,-7.64,Stop Loss,-0.00191,3993.6174365836114
AON,2021-06-30 09:45:00-04:00,233.1,2021-06-30 14:55:00+00:00,232.14,-8.56,Stop Loss,-0.00214,3985.071095269322
AVGO,2021-07-01 09:50:00-04:00,42.97,2021-07-01 16:50:00+00:00,42.87,-6.52,Time Stop,-0.00163,3978.5754293840328
TXN,2021-07-07 10:40:00-04:00,165.48,2021-07-07 17:40:00+00:00,165.34,-2.18,Time Stop,-0.000545,3976.4071057750184
ADI,2021-07-07 14:35:00-04:00,151.69,2021-07-07 18:55:00+00:00,152.46,9.66,Take Profit,0.002415,3986.010128935465
AON,2021-07-12 09:50:00-04:00,226.85,2021-07-12 16:25:00+00:00,225.59,-11.5,Stop Loss,-0.002875,3974.550349814776
AAPL,2021-07-12 09:50:00-04:00,140.81,2021-07-12 16:50:00+00:00,141.26,5.82,Time Stop,0.0014550000000000001,3980.3333205737563
ECL,2021-07-13 09:45:00-04:00,201.12,2021-07-13 16:45:00+00:00,201.34,1.79,Time Stop,0.00044750000000000004,3982.1145197347128
JPM,2021-07-16 10:00:00-04:00,136.78,2021-07-16 14:40:00+00:00,135.98,-12.29,Stop Loss,-0.0030724999999999997,3969.8794728728276
