timestamp,open,high,low,close,volume,bar_vwap,transactions,otc
2026-03-24 08:00:00,655.17,657.11,655.17,657.11,3820.0,656.6618,69,
2026-03-24 08:01:00,656.88,656.89,656.59,656.59,764.0,656.859,27,
2026-03-24 08:02:00,656.74,656.74,656.69,656.69,2116.0,656.7333,28,
2026-03-24 08:03:00,656.94,656.94,656.75,656.75,1415.0,656.8327,31,
2026-03-24 08:04:00,657.0,657.0,657.0,657.0,103.0,656.9837,6,
2026-03-24 08:05:00,657.2,657.4,657.2,657.39,396.0,657.2889,18,
2026-03-24 08:06:00,657.29,657.47,657.22,657.47,1872.0,657.3466,35,
2026-03-24 08:07:00,657.32,657.36,657.25,657.25,726.0,657.3093,18,
2026-03-24 08:08:00,657.32,657.33,656.99,656.99,622.0,657.1821,14,
2026-03-24 08:09:00,656.92,656.92,656.9,656.91,870.0,656.9263,23,
2026-03-24 08:10:00,657.02,657.03,656.8,656.83,1710.0,656.8558,21,
2026-03-24 08:11:00,656.85,656.95,656.75,656.94,751.0,656.844,14,
2026-03-24 08:12:00,656.98,657.18,656.95,657.15,3003.0,657.0687,34,
2026-03-24 08:13:00,657.2,657.2,657.2,657.2,238.0,657.1581,12,
2026-03-24 08:14:00,657.15,657.15,656.98,657.0,665.0,657.0205,11,
2026-03-24 08:15:00,657.0,657.25,656.95,657.13,8236.0,657.0232,97,
2026-03-24 08:16:00,657.11,657.36,657.1,657.29,2348.0,657.2259,39,
2026-03-24 08:17:00,657.06,657.06,656.79,656.79,2621.0,656.9849,21,
2026-03-24 08:18:00,656.66,656.66,656.26,656.28,526.0,656.4601,20,
2026-03-24 08:19:00,656.0,656.28,655.55,655.6,9361.0,655.7627,104,
2026-03-24 08:20:00,655.6,655.78,655.41,655.54,6464.0,655.571,73,
2026-03-24 08:21:00,655.48,655.66,655.48,655.66,2402.0,655.63,39,
2026-03-24 08:22:00,655.78,655.89,655.76,655.76,397.0,655.8258,6,
2026-03-24 08:23:00,655.99,655.99,655.91,655.91,1011.0,655.9293,11,
2026-03-24 08:24:00,655.78,655.78,655.39,655.46,1679.0,655.5339,14,
2026-03-24 08:25:00,655.29,655.32,655.15,655.17,3842.0,655.2405,48,
2026-03-24 08:26:00,655.4,655.4,655.16,655.16,291.0,655.2871,10,
2026-03-24 08:27:00,655.18,655.22,655.0,655.22,1955.0,655.0454,46,
2026-03-24 08:28:00,655.07,655.16,655.07,655.16,268.0,655.1223,9,
2026-03-24 08:29:00,655.22,655.22,655.1,655.1,580.0,655.1776,7,
2026-03-24 08:30:00,654.84,655.01,654.71,655.01,1398.0,654.8717,27,
2026-03-24 08:31:00,655.18,655.19,655.15,655.15,542.0,655.1799,11,
2026-03-24 08:32:00,655.37,655.37,655.17,655.17,520.0,655.2664,12,
2026-03-24 08:33:00,655.25,655.25,654.97,654.97,541.0,655.1192,10,
2026-03-24 08:34:00,655.02,655.12,655.02,655.12,585.0,655.0661,12,
2026-03-24 08:35:00,655.05,655.36,655.05,655.36,772.0,655.1914,17,
2026-03-24 08:36:00,655.64,655.76,655.54,655.7,1798.0,655.7058,25,
2026-03-24 08:37:00,655.67,655.67,655.67,655.67,327.0,655.6546,9,
2026-03-24 08:38:00,655.47,655.52,655.16,655.16,3976.0,655.4081,37,
2026-03-24 08:40:00,655.34,655.59,655.34,655.58,810.0,655.4616,6,
2026-03-24 08:41:00,655.6,655.65,655.6,655.65,319.0,655.63,5,
2026-03-24 08:42:00,655.44,655.44,654.96,654.97,576.0,655.0649,13,
2026-03-24 08:43:00,655.0,655.0,654.99,655.0,114.0,655.0002,4,
2026-03-24 08:44:00,654.97,655.02,654.97,655.02,245.0,655.01,5,
2026-03-24 08:45:00,655.1,655.11,655.1,655.1,171.0,655.1188,5,
2026-03-24 08:46:00,655.19,655.55,655.19,655.55,119.0,655.3763,4,
2026-03-24 08:47:00,655.39,655.54,655.31,655.53,878.0,655.4364,11,
2026-03-24 08:48:00,655.52,655.52,655.44,655.44,279.0,655.4814,6,
2026-03-24 08:49:00,655.55,655.55,655.55,655.55,840.0,655.546,6,
2026-03-24 08:50:00,655.37,655.68,654.78,654.78,28900.0,655.3715,425,
2026-03-24 08:51:00,655.02,655.02,654.53,654.6,4081.0,654.6868,39,
2026-03-24 08:52:00,654.9,655.18,654.9,655.18,579.0,654.9223,8,
2026-03-24 08:53:00,655.0,655.0,654.88,654.88,1251.0,654.9823,15,
2026-03-24 08:54:00,654.94,655.1,654.94,655.1,1111.0,654.9958,13,
2026-03-24 08:55:00,654.97,654.97,654.97,654.97,802.0,654.97,7,
2026-03-24 08:56:00,654.95,654.96,654.33,654.35,1210.0,654.6278,28,
2026-03-24 08:57:00,654.55,654.55,654.37,654.44,4124.0,654.4938,50,
