Ticker,Type,Entry_Time,PnL,Reason
NVDA,LONG,2023-01-18 10:15:00-05:00,-16.395739910313925,Stop Loss
NVDA,LONG,2023-01-20 10:15:00-05:00,-10.990621336459556,Stop Loss
NVDA,SHORT,2023-01-25 13:20:00-05:00,-14.760638297872239,Stop Loss
NVDA,SHORT,2023-01-30 10:45:00-05:00,27.3003033367037,Take Profit
NVDA,LONG,2023-02-07 12:45:00-05:00,23.087686567164553,Take Profit
NVDA,LONG,2023-02-09 10:20:00-05:00,-11.457878655608951,Stop Loss
NVDA,SHORT,2023-02-16 10:05:00-05:00,-12.966333030027386,Stop Loss
NVDA,SHORT,2023-02-17 15:45:00-05:00,-0.7035647279548318,End of Day Exit
NVDA,SHORT,2023-02-27 13:05:00-05:00,-9.223918575063585,Stop Loss
NVDA,SHORT,2023-02-28 11:00:00-05:00,-9.009009009009047,Stop Loss
NVDA,SHORT,2023-03-01 10:30:00-05:00,20.27027027026995,Take Profit
NVDA,LONG,2023-03-02 10:20:00-05:00,-12.840210711150151,Stop Loss
NVDA,SHORT,2023-03-03 10:25:00-05:00,-9.702457956015431,Stop Loss
NVDA,SHORT,2023-03-06 10:10:00-05:00,-11.099365750528586,Stop Loss
NVDA,SHORT,2023-03-07 10:30:00-05:00,-11.818568994889187,Stop Loss
NVDA,LONG,2023-03-08 15:45:00-05:00,18.891687657430776,End of Day Exit
NVDA,LONG,2023-03-09 10:15:00-05:00,-10.76702214930275,Stop Loss
NVDA,LONG,2023-03-14 15:05:00-04:00,-15.677257525083391,Stop Loss
NVDA,SHORT,2023-03-15 11:40:00-04:00,-13.74094588836812,Stop Loss
NVDA,LONG,2023-03-16 11:20:00-04:00,28.988486842105193,Take Profit
NVDA,LONG,2023-03-20 15:45:00-04:00,15.216543113538913,End of Day Exit
NVDA,LONG,2023-03-21 10:05:00-04:00,-9.12200684150514,Stop Loss
NVDA,LONG,2023-03-23 10:05:00-04:00,-8.49159970781579,Stop Loss
NVDA,SHORT,2023-03-24 15:45:00-04:00,-8.461827754794955,End of Day Exit
NVDA,SHORT,2023-03-27 15:45:00-04:00,5.64334085778789,End of Day Exit
NVDA,SHORT,2023-03-29 11:50:00-04:00,-8.408071748878845,Stop Loss
NVDA,LONG,2023-03-30 10:05:00-04:00,-6.865616990113512,Stop Loss
NVDA,LONG,2023-03-31 15:45:00-04:00,6.5383218307299735,End of Day Exit
NVDA,LONG,2023-04-03 10:55:00-04:00,-10.525368837711422,Stop Loss
NVDA,SHORT,2023-04-05 14:45:00-04:00,-11.568848758464913,Stop Loss
NVDA,LONG,2023-04-06 11:05:00-04:00,14.639639639639928,Take Profit
NVDA,LONG,2023-04-10 10:40:00-04:00,16.158989598811246,Take Profit
NVDA,SHORT,2023-04-11 15:45:00-04:00,0.0,End of Day Exit
NVDA,LONG,2023-04-13 15:45:00-04:00,-15.665796344647386,End of Day Exit
NVDA,LONG,2023-04-17 11:35:00-04:00,-11.198208286674092,Stop Loss
NVDA,LONG,2023-04-19 15:45:00-04:00,11.359538406058467,End of Day Exit
NVDA,LONG,2023-04-20 10:25:00-04:00,-9.12996777658441,Stop Loss
NVDA,SHORT,2023-04-21 10:10:00-04:00,-9.266192437289357,Stop Loss
NVDA,SHORT,2023-04-24 15:45:00-04:00,-2.224694104560773,End of Day Exit
NVDA,SHORT,2023-04-25 15:45:00-04:00,26.915887850467314,End of Day Exit
NVDA,LONG,2023-04-26 10:15:00-04:00,-12.177121771217651,Stop Loss
NVDA,LONG,2023-04-28 15:30:00-04:00,17.55027422303475,Take Profit
NVDA,LONG,2023-05-01 13:00:00-04:00,27.07964601769901,Take Profit
NVDA,SHORT,2023-05-02 15:45:00-04:00,14.79394152870735,End of Day Exit
NVDA,LONG,2023-05-03 11:30:00-04:00,-15.005359056805874,Stop Loss
NVDA,LONG,2023-05-04 10:20:00-04:00,-9.445843828715212,Stop Loss
NVDA,LONG,2023-05-05 13:50:00-04:00,22.937411095305816,Take Profit
NVDA,LONG,2023-05-08 11:40:00-04:00,15.728766165676188,Take Profit
NVDA,SHORT,2023-05-09 15:45:00-04:00,-4.207573632538667,End of Day Exit
NVDA,SHORT,2023-05-10 15:10:00-04:00,-12.30796089385472,Stop Loss
