timestamp,open,high,low,close,volume,bar_vwap,transactions,otc
2026-03-24 08:00:00,176.49,176.55,176.43,176.43,6815.0,176.4697,276,
2026-03-24 08:01:00,176.46,176.46,176.38,176.4,4432.0,176.43,99,
2026-03-24 08:02:00,176.39,176.39,176.3,176.33,2275.0,176.3383,71,
2026-03-24 08:03:00,176.45,176.45,176.42,176.42,1040.0,176.4053,46,
2026-03-24 08:04:00,176.39,176.42,176.37,176.37,5347.0,176.3945,133,
2026-03-24 08:05:00,176.47,176.49,176.45,176.45,3205.0,176.4575,105,
2026-03-24 08:06:00,176.48,176.48,176.44,176.44,1684.0,176.4441,76,
2026-03-24 08:07:00,176.39,176.41,176.39,176.4,2265.0,176.4022,85,
2026-03-24 08:08:00,176.4,176.4,176.31,176.31,1497.0,176.338,109,
2026-03-24 08:09:00,176.28,176.47,176.28,176.47,6801.0,176.3881,130,
2026-03-24 08:10:00,176.36,176.36,176.36,176.36,502.0,176.362,17,
2026-03-24 08:11:00,176.4,176.4,176.4,176.4,1083.0,176.3774,59,
2026-03-24 08:12:00,176.43,176.43,176.43,176.43,527.0,176.4135,25,
2026-03-24 08:13:00,176.4,176.4,176.34,176.38,2155.0,176.3817,37,
2026-03-24 08:14:00,176.35,176.35,176.32,176.32,755.0,176.3383,33,
2026-03-24 08:15:00,176.39,176.41,176.31,176.4,2687.0,176.3772,100,
2026-03-24 08:16:00,176.4,176.4,176.4,176.4,565.0,176.4066,21,
2026-03-24 08:17:00,176.36,176.45,176.32,176.32,2621.0,176.3693,63,
2026-03-24 08:18:00,176.3,176.3,176.11,176.17,3476.0,176.2438,88,
2026-03-24 08:19:00,176.07,176.21,176.0,176.0,20214.0,176.0267,205,
2026-03-24 08:20:00,175.98,176.05,175.94,175.95,3711.0,175.9902,86,
2026-03-24 08:21:00,175.99,175.99,175.99,175.99,765.0,176.0253,38,
2026-03-24 08:22:00,176.08,176.08,176.0,176.0,1508.0,176.0278,31,
2026-03-24 08:23:00,176.08,176.1,176.08,176.1,1018.0,176.0942,30,
2026-03-24 08:24:00,176.05,176.11,175.96,175.97,3065.0,176.0188,60,
2026-03-24 08:25:00,175.95,175.95,175.86,175.86,1472.0,175.9224,58,
2026-03-24 08:27:00,175.86,175.97,175.86,175.89,3933.0,175.9371,62,
2026-03-24 08:28:00,175.92,175.92,175.89,175.9,1547.0,175.8932,37,
2026-03-24 08:29:00,175.92,175.93,175.9,175.9,1546.0,175.9086,43,
2026-03-24 08:30:00,175.85,175.86,175.7,175.86,15478.0,175.8124,188,
2026-03-24 08:31:00,175.75,175.8,175.75,175.78,1837.0,175.7683,64,
2026-03-24 08:32:00,175.8,175.83,175.76,175.76,6765.0,175.8052,107,
2026-03-24 08:33:00,175.76,175.78,175.7,175.7,1292.0,175.739,59,
2026-03-24 08:34:00,175.77,175.77,175.77,175.77,1494.0,175.7672,47,
2026-03-24 08:35:00,175.82,175.83,175.8,175.83,4304.0,175.8323,83,
2026-03-24 08:36:00,175.95,175.99,175.95,175.99,817.0,175.9684,23,
2026-03-24 08:37:00,176.03,176.03,175.97,175.98,1407.0,175.9825,50,
2026-03-24 08:38:00,176.0,176.0,175.95,175.95,1407.0,175.9759,45,
2026-03-24 08:39:00,175.97,175.97,175.97,175.97,202.0,175.9677,11,
2026-03-24 08:40:00,176.06,176.06,176.06,176.06,920.0,176.0971,39,
2026-03-24 08:41:00,176.08,176.08,176.08,176.08,485.0,176.0747,34,
2026-03-24 08:42:00,176.05,176.05,176.0,176.0,1441.0,176.0211,62,
2026-03-24 08:43:00,175.95,175.95,175.85,175.85,1854.0,175.8928,68,
2026-03-24 08:44:00,175.85,175.9,175.85,175.9,771.0,175.8874,16,
2026-03-24 08:46:00,175.94,176.03,175.94,176.03,1486.0,175.9684,50,
2026-03-24 08:47:00,175.95,175.95,175.95,175.95,990.0,175.9818,57,
2026-03-24 08:49:00,175.97,175.97,175.95,175.95,896.0,175.967,32,
2026-03-24 08:50:00,175.99,176.06,175.92,175.95,4114.0,175.9965,144,
2026-03-24 08:51:00,175.9,175.94,175.84,175.84,3143.0,175.8704,121,
2026-03-24 08:52:00,175.84,175.86,175.77,175.8,4670.0,175.8121,88,
2026-03-24 08:53:00,175.84,175.84,175.84,175.84,751.0,175.8038,59,
2026-03-24 08:54:00,175.8,175.8,175.8,175.8,343.0,175.8028,30,
2026-03-24 08:55:00,175.81,175.81,175.81,175.81,575.0,175.8059,29,
2026-03-24 08:56:00,175.72,175.72,175.64,175.69,2162.0,175.7046,86,
2026-03-24 08:57:00,175.72,175.73,175.68,175.68,2862.0,175.7082,67,
2026-03-24 08:58:00,175.67,175.69,175.61,175.69,4115.0,175.6515,166,
2026-03-24 08:59:00,175.66,175.72,175.63,175.72,1695.0,175.6549,46,
2026-03-24 09:00:00,175.64,175.64,175.64,175.64,760.0,175.6483,42,
2026-03-24 09:03:00,175.76,175.76,175.76,175.76,416.0,175.7372,23,
2026-03-24 09:04:00,175.78,175.8,175.78,175.8,1199.0,175.8048,43,
2026-03-24 09:05:00,175.79,175.79,175.79,175.79,347.0,175.8069,28,
2026-03-24 09:06:00,175.73,175.73,175.6,175.63,2475.0,175.665,85,
2026-03-24 09:07:00,175.55,175.55,175.41,175.43,5555.0,175.4841,143,
2026-03-24 09:08:00,175.47,175.47,175.39,175.39,2660.0,175.4191,54,
2026-03-24 09:09:00,175.46,175.46,175.46,175.46,2731.0,175.4437,44,
2026-03-24 09:10:00,175.49,175.49,175.38,175.46,3267.0,175.4236,115,
2026-03-24 09:11:00,175.47,175.47,175.21,175.21,3312.0,175.3557,111,
2026-03-24 09:12:00,175.21,175.21,175.2,175.2,1572.0,175.2026,44,
2026-03-24 09:13:00,175.2,175.26,175.2,175.21,3931.0,175.2314,97,
2026-03-24 09:14:00,175.16,175.16,175.05,175.05,4181.0,175.0944,128,
2026-03-24 09:15:00,175.09,175.12,175.09,175.12,1213.0,175.1259,56,
2026-03-24 09:16:00,175.13,175.18,175.13,175.18,717.0,175.1696,38,
2026-03-24 09:17:00,175.25,175.3,175.25,175.3,4124.0,175.2712,50,
2026-03-24 09:18:00,175.3,175.33,175.3,175.33,1366.0,175.3196,69,
2026-03-24 09:19:00,175.32,175.4,175.32,175.4,442.0,175.3583,25,
2026-03-24 09:20:00,175.38,175.38,175.32,175.32,1807.0,175.352,57,
2026-03-24 09:21:00,175.36,175.36,175.3,175.3,1689.0,175.3057,62,
2026-03-24 09:22:00,175.3,175.3,175.21,175.25,3390.0,175.2806,83,
2026-03-24 09:23:00,175.3,175.3,175.29,175.29,686.0,175.3056,15,
2026-03-24 09:24:00,175.41,175.41,175.41,175.41,501.0,175.4041,19,
2026-03-24 09:26:00,175.45,175.45,175.4,175.42,1892.0,175.4299,40,
